partner_id,partner_name,region,onboarding_date,kyc_status,active_days_last_30,txn_count_last_30,txn_volume_gtv_last_30,txn_count_prev_30,txn_volume_gtv_prev_30,complaints_last_30,service_uptime_pct,declared_gtv_last_30,computed_gtv_last_30_from_daily_logs,last_txn_date
1001,Partner_1001,MP-Central,2026-02-24,Verified,28.0,410.0,620000.0,350,500000,0,99.2,620000.0,620000.0,2026-08-17
1002,Partner_1002,MP-Central,2025-09-10,Verified,26.0,300.0,450000.0,260,400000,1,97.0,450000.0,450000.0,2026-08-16
1003,Partner_1003,Bihar-South,2026-01-27,Verified,25.0,280.0,300000.0,300,310000,0,98.5,300000.0,300000.0,2026-08-17
1004,Partner_1004,MP-Central,2024-05-21,Verified,22.0,150.0,180000.0,220,260000,2,95.0,180000.0,180000.0,2026-08-17
1005,Partner_1005,Jharkhand,2025-04-12,Verified,0.0,0.0,0.0,180,220000,0,90.0,0.0,0.0,2026-07-15
1006,Partner_1006,Bihar-North,2026-03-15,Verified,27.0,500.0,900000.0,300,500000,0,99.5,900000.0,900000.0,2026-08-16
1007,Partner_1007,Bihar-South,2025-01-17,Verified,20.0,120.0,95000.0,130,100000,0,96.0,95000.0,95000.0,2026-08-17
1008,Partner_1008,Jharkhand,2025-11-27,Verified,24.0,260.0,210000.0,200,180000,1,97.5,210000.0,210000.0,2026-08-14
1009,Partner_1009,Bihar-South,2025-03-16,Verified,18.0,90.0,70000.0,160,150000,3,88.0,70000.0,70000.0,2026-08-15
1010,Partner_1010,Bihar-North,2024-05-02,Verified,26.0,310.0,330000.0,290,300000,0,99.0,330000.0,330000.0,2026-08-16
1011,Partner_1011,MP-Central,2025-04-12,Verified,28.0,410.0,620000.0,350,500000,0,99.2,620000.0,620000.0,2026-08-15
1012,Partner_1012,UP-East,2026-01-10,Verified,26.0,300.0,450000.0,260,400000,1,97.0,450000.0,450000.0,2026-08-16
1013,Partner_1013,UP-East,2026-03-06,Verified,25.0,280.0,300000.0,300,310000,0,98.5,300000.0,300000.0,2026-08-17
1014,Partner_1014,UP-West,2026-03-11,Verified,22.0,150.0,180000.0,220,260000,2,95.0,180000.0,180000.0,2026-08-15
1015,Partner_1015,UP-East,2024-10-08,Verified,0.0,0.0,0.0,180,220000,0,90.0,0.0,0.0,2026-07-01
1016,Partner_1016,Bihar-North,2024-06-01,Verified,27.0,500.0,900000.0,300,500000,0,99.5,900000.0,900000.0,2026-08-14
1017,Partner_1017,Jharkhand,2026-02-11,Verified,20.0,120.0,95000.0,130,100000,0,96.0,95000.0,95000.0,2026-08-14
1018,Partner_1018,Bihar-North,2024-11-30,Verified,24.0,260.0,210000.0,200,180000,1,97.5,210000.0,210000.0,2026-08-15
1019,Partner_1019,MP-Central,2024-09-23,Verified,18.0,90.0,70000.0,160,150000,3,88.0,70000.0,70000.0,2026-08-15
1020,Partner_1020,Jharkhand,2025-12-04,Verified,26.0,310.0,330000.0,290,300000,0,99.0,330000.0,330000.0,2026-08-17
1021,Partner_MissingData,UP-East,2026-01-29,Verified,,,,280,250000,0,96.0,,,
1022,Partner_BrokenTotals,Jharkhand,2025-07-13,Verified,24.0,300.0,500000.0,280,480000,0,97.0,500000.0,210000.0,2026-08-16
1023,Partner_NegativeVolume,MP-Central,2026-03-20,Verified,20.0,100.0,-50000.0,90,80000,0,95.0,-50000.0,-50000.0,2026-08-15
1024,Partner_KYCRejectedActive,Bihar-North,2025-04-04,Rejected,27.0,350.0,400000.0,300,350000,1,98.0,400000.0,400000.0,2026-08-17
1025,Partner_Dup,Bihar-South,2025-10-21,Verified,15.0,80.0,60000.0,70,55000,0,96.0,60000.0,60000.0,2026-08-13
1025,Partner_Dup,Bihar-South,2025-10-21,Verified,15.0,80.0,60000.0,70,55000,0,96.0,60000.0,60000.0,2026-08-13
1027,Partner_BadUptime,UP-West,2025-12-10,Verified,25.0,200.0,150000.0,190,145000,0,143.0,150000.0,150000.0,2026-08-16
1028,Partner_NewNoHistory,Bihar-North,2026-07-28,Verified,18.0,60.0,45000.0,0,0,0,97.0,45000.0,45000.0,2026-08-16
